pays,orange,aqua,black,blue,green,gray,lime,maroon,navy,olive,red,silver,teal,white,yellow
Ireland,33.333333333333336,,,,,,,,,,,,33.333333333333336,33.333333333333336,
Israel,,,,34.22222222222222,,2.6666666666666665,,,,,,0.4691358024691358,0.8518518518518519,61.79012345679013,
Italy,,,,,33.333333333333336,,,,,,33.333333333333336,,,33.333333333333336,
Ivory Coast,33.333333333333336,,,,,,,,,,,,33.333333333333336,33.333333333333336,
Jamaica,32.39506172839506,,32.888888888888886,,32.888888888888886,,,,,1.8271604938271604,,,,,
Japan,,,,,,0.12962962962962962,,,,,18.69753086419753,0.2962962962962963,,80.87654320987654,
Jordan,,,27.77777777777778,,27.77777777777778,0.07407407407407407,,0.37037037037037035,,,24.160493827160494,0.3148148148148148,,19.52469135802469,
Kazakhstan,6.462962962962963,,,,,1.1296296296296295,,,,0.41975308641975306,,2.2160493827160495,89.77160493827161,,
Kenya,,,30.09259259259259,,28.962962962962962,0.9814814814814815,,0.5925925925925926,,,28.80246913580247,0.6790123456790124,,9.88888888888889,
Kiribati,6.228395061728395,,,,,1.271604938271605,,0.3765432098765432,21.462962962962962,0.8209876543209876,44.24074074074074,2.8518518518518516,0.6358024691358025,22.11111111111111,
North Korea,0.2037037037037037,,,,,,,,,,54.49382716049383,2.888888888888889,33.333333333333336,9.080246913580247,
South Korea,,,7.253086419753086,,,1.9444444444444444,,0.024691358024691357,6.432098765432099,,6.154320987654321,1.462962962962963,0.04938271604938271,76.67901234567901,
Kuwait,,,16.75925925925926,,29.074074074074073,,,0.09259259259259259,,,29.074074074074073,,,25.0,
Kyrgyzstan,4.2407407407407405,,,,,,,,,,89.74691358024691,,,,6.012345679012346
Laos,,,,,,0.08641975308641975,,,40.333333333333336,,51.111111111111114,0.35802469135802467,0.037037037037037035,8.074074074074074,
Latvia,,,,,,,,80.0,,,,,,20.0,
Lebanon,,,,,,,,,,,51.111111111111114,1.1358024691358024,6.314814814814815,41.43827160493827,
Lesotho,,,2.876543209876543,,30.0,0.6790123456790124,,,30.0,,,0.30246913580246915,,36.141975308641975,
Liberia,,,,,,2.0987654320987654,,,9.580246913580247,,48.91975308641975,4.327160493827161,0.06790123456790123,35.00617283950617,
Libya,,,47.60493827160494,,25.555555555555557,0.32098765432098764,,1.1111111111111112,,,24.444444444444443,0.13580246913580246,,0.8271604938271605,
Liechtenstein,1.5987654320987654,,1.0432098765432098,,,,,0.1111111111111111,46.00617283950617,1.2407407407407407,50.0,,,,
Lithuania,33.333333333333336,,,,32.22222222222222,,,,,1.1111111111111112,33.333333333333336,,,,
Luxembourg,,,,,,,,,,,33.333333333333336,2.2222222222222223,33.333333333333336,31.11111111111111,
Madagascar,,,,,33.333333333333336,,,,,,33.333333333333336,,,33.333333333333336,
Malawi,,,27.339506172839506,,33.333333333333336,,,4.444444444444445,,,34.882716049382715,,,,
Malaysia,3.3518518518518516,,0.14814814814814814,,,1.6666666666666667,,0.6790123456790124,23.938271604938272,0.7716049382716049,34.44444444444444,3.3333333333333335,,31.666666666666668,
The Maldives,,,,,30.969135802469136,0.030864197530864196,,,,,67.4074074074074,0.3148148148148148,0.15432098765432098,1.123456790123457,
Mali,33.333333333333336,,,,,,33.333333333333336,,,,33.333333333333336,,,,
Malta,,,,,,0.4382716049382716,,,,,50.0,2.4382716049382718,,47.123456790123456,
The Marshall Islands,0.2716049382716049,,,,,1.123456790123457,,,73.18518518518519,10.117283950617283,,1.9567901234567902,0.8271604938271605,12.518518518518519,
Mauritania,4.993827160493828,,,,63.19753086419753,,,,,0.6975308641975309,31.11111111111111,,,,
